School Types,Total,Community,Institutional,Religious,,,,,,,,,,,
ECED,"41,284","33,470","7,814",527,,,,,,,,,,,
Total Unit:,"35,447","27,298","8,149","1,424",,,,,,,,,,,
Basic (1-5),"17,257","15,322","1,935","1,165",,,,,,,,,,,
Basic (6-8),"6,648","4,763","1,885",167,,,,,,,,,,,
Basic (1-8),"23,905","20,085","3,820","1,332",,,,,,,,,,,
"Secondary (1-10, 6-10",or,,,,,,,,,,,,,,
6493,"3,401","3,092",58,,,,,,,,,,,,
Secondary (1-12),5049,"3,812","1,237",34,,,,,,,,,,,
Secondary Level (9-12),"11,542","7,213","4,329",92,,,,,,,,,,,
Total,Community,Institutional,Religious,,,,,,,,,,,,
Total,Girls,Total,Girls,Total Girls,Total Girls,,,,,,,,,,
ECED,"1,301,428","584,827","599,794","289,991","682,576 285,375","19,058 9,461",,,,,,,,,
Basic (1-5),"3,514,928","1,670,143","2,080,910","1,061,177","1,327,479 550,596","106,539 58,370",,,,,,,,,
Basic (6-8),"1,832,140","886,018","1,262,550","649,529","557,986 230,404","11,604 6,085",,,,,,,,,
Basic (1-8),"5,347,068","2,556,161","3,343,460","1,710,706","1,885,465 781,000","118,143 64,455",,,,,,,,,
Sec (9-10),"989,885","485,141","726,994","373,205","260,316 110,675","2,575 1,261",,,,,,,,,
Sec (11-12),"673,855","331,822","450,893","237,115","222,298 94,518",664 189,,,,,,,,,
Sec (9-12),"1,663,740","816,963","1,177,887","610,320","482,614 205,193","3,239 1,450",,,,,,,,,
Teacher Types,Basic (1-5),Basic (6-8),Basic (1-8),Sec (9-10),Sec (11-12),Sec (9-12),,,,,,,,,
"99,096","28,255","127,351","23,422","5,877","29, 299",,,,,,,,,,
App positions: Permanent,"62,369","13,461","75,830","11,159",-,"11,159",,,,,,,,,
App positions: Temporary,"17,185","5,499","22,684","5,088","1,927","7,015",,,,,,,,,
Rahat,"19,542","9,295","28,837","7,175","3,950","11,125",,,,,,,,,
All schools*,"157,456","60,707","218,163","52,304","11,446","63,750",,,,,,,,,
All schools: Female*,"86,127","22,123","108,250","14,265","1,643","15,908",,,,,,,,,
"116,825","37,396","154,221","29,425","6,988","36,413",,,,,,,,,,
"55,713","10,931","66,644","9,329",877,"10,206",,,,,,,,,,
"40,631","23,311","63,942","22,879","4,458","27,337",,,,,,,,,,
"30,414","11,192","41,606","4,936",766,"5,702",,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
2021/22,2024/25,2024/25,,,,,,,,,,,,,
S.N. Result Indicators,Unit,2078 BS,2081 BS,2081 BS,,,,,,,,,,,
1.1. ECED centers that,meet at,least,three,,,,,,,,,,,,
1 Minimum Enabling Conditions,-,39.7,52,68.1,,,,,,,,,,,
G,86,91.7,99.6,,,,,,,,,,,,
GER in ECED,B,%,93.3,97.3,102.1,,,,,,,,,,
T,89.6,94.5,101,,,,,,,,,,,,
G,66.9,75.5,70.3,,,,,,,,,,,,
B,%,71.1,78.7,70.2,,,,,,,,,,,
T,69,77.1,70.2,,,,,,,,,,,,
G,74.9,81.4,75.6,,,,,,,,,,,,
B,%,74.9,81.5,76.9,,,,,,,,,,,
T,74.9,81.5,76.3,,,,,,,,,,,,
Gender Parity Index in NER in ECED,ratio,,,,,,,,,,,,,,
1,-,0.92,0.94,1,,,,,,,,,,,
G,19.3,19.4,15.8,,,,,,,,,,,,
Enrolment rate of Dalit students in ECED,B,%,18.7,18.9,14.9,,,,,,,,,,
T,19,19.2,15.3,,,,,,,,,,,,
G,0.2,0.4,0.64,,,,,,,,,,,,
1.2. Enrolment rate,of students,with,,,,,,,,,,,,,
B,%,0.1,1.2,0.7,,,,,,,,,,,
T,0.6,0.8,0.67,,,,,,,,,,,,
G,"315,121","344,672","299,452",,,,,,,,,,,,
1.3. Pre-primary-aged,children,receiving,,,,,,,,,,,,,
B,No.,"330,009","354,644","319,400",,,,,,,,,,,
T,"645,130","699,316","618,852",,,,,,,,,,,,
F,"5,846","9,460",7044,,,,,,,,,,,,
1.3. ECED teachers/facilitators,with,15,days,,,,,,,,,,,,
M,No.,244,409,124,,,,,,,,,,,
T,"6,090","9,869",7168,,,,,,,,,,,,
year,Targets,Achievement,,,,,,,,,,,,,
S.N. Result Indicators,Unit,,,,,,,,,,,,,,
2021/22,2024/25,2024/25,,,,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
G,14.7,5.9,13.8,,,,,,,,,,,,
2.1.1 Repetition rate in Grade 1,B,%,13.9,6.8,12.3,,,,,,,,,,
T,14.3,6.4,13,,,,,,,,,,,,
G,4.3,2.2,9,,,,,,,,,,,,
2.1.2 Dropout rate in Grade 1,B,%,4.4,2.6,9.1,,,,,,,,,,
T,4.3,2.4,9.1,,,,,,,,,,,,
G,124.9,122.2,117.6,,,,,,,,,,,,
2.1.3 GIR in Grade 1,B,%,129,125.7,119.2,,,,,,,,,,
T,127,124.4,118.5,,,,,,,,,,,,
G,95.9,97.1,93.7,,,,,,,,,,,,
2.1.4 NIR in Grade 1,B,%,96.7,97.7,93.6,,,,,,,,,,
T,96.3,97.4,93.7,,,,,,,,,,,,
G,120.8,120.2,125.1,,,,,,,,,,,,
2.1.5 GER in Grade 1-5,B,%,123.1,123,135.8,,,,,,,,,,
T,122,121.6,130.5,,,,,,,,,,,,
G,96.5,97.5,94.5,,,,,,,,,,,,
2.1.6 NER Grade 1-5,B,%,97.2,98,94.3,,,,,,,,,,
T,96.9,97.8,94.4,,,,,,,,,,,,
G,110.4,108.1,114.7,,,,,,,,,,,,
2.1.7 GER in Grade 6-8,B,%,111,109.4,115.3,,,,,,,,,,
T,110.7,108.8,115,,,,,,,,,,,,
G,93,95,93.6,,,,,,,,,,,,
2.1.8 NER in Grade 6-8,B,%,93.6,95.4,93.7,,,,,,,,,,
T,93.3,95.2,93.6,,,,,,,,,,,,
G,117.1,113.4,121.3,,,,,,,,,,,,
2.1.9 GER in Grade 1-8,B,%,118.8,115.1,128.1,,,,,,,,,,
T,118,114.2,124.8,,,,,,,,,,,,
G,94.4,96.1,94.2,,,,,,,,,,,,
2.1.10 NER in Grade 1-8,B,%,95.7,97,94,,,,,,,,,,
T,95.1,96.5,94.1,,,,,,,,,,,,
G,5.1,5.1,8.1,,,,,,,,,,,,
2.1.11 Repetition rate at Basic level (grades 1-8),B,%,5.5,5.5,7.9,,,,,,,,,,
T,5.3,5.3,8,,,,,,,,,,,,
G,2.9,2.9,6.5,,,,,,,,,,,,
2.1.12 Dropout rate at basic level (Grades 1-8),B,%,3.1,3.1,7.1,,,,,,,,,,
T,3,3,6.8,,,,,,,,,,,,
G,83.8,83.8,86.7,,,,,,,,,,,,
2.1.13,Survival rate to grade 8,B,%,83.2,83.2,86.3,,,,,,,,,
T,83.5,83.5,86.5,,,,,,,,,,,,
G,76.6,76.6,82.8,,,,,,,,,,,,
2.1.14,Completion rate at the basic level,B,%,75.9,75.9,82.1,,,,,,,,,
T,76.2,76.2,82.4,,,,,,,,,,,,
Gender Parity Index in NER in,basic,,,,,,,,,,,,,,
2.2.1,ratio,0.99,0.99,1,,,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
S.N. Result Indicators,Unit,2021/22,2024/25,2024/25,,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
2.2.2 Female teachers at the basic (1-5) level,%,47.2,48,54.6,,,,,,,,,,,
G,18.6,18.9,17.4,,,,,,,,,,,,
Share of Dalit,students in total,,,,,,,,,,,,,,
2.2.3,B,%,18.1,18.3,16.6,,,,,,,,,,
T,18.4,18.6,17,,,,,,,,,,,,
G,0.5,0.7,0.51,,,,,,,,,,,,
2.2.4,B,%,0.6,0.9,0.62,,,,,,,,,,
T,0.5,0.8,0.57,,,,,,,,,,,,
Students receiving,scholarships at the G,19.1,19.4,43.79,,,,,,,,,,,
2.2.5 basic,B,%,17.9,18.4,8.69,,,,,,,,,,
(1-8) level,T,18.5,18.9,26.24,,,,,,,,,,,
Residential scholarships,for students G,"9,080","10,012",3540,,,,,,,,,,,
2.2.6 from remote areas and targeted groups,B,No.,"8,586","9,468",3986,,,,,,,,,,
at the basic and secondary levels,T,"17,666","19,480",7486,,,,,,,,,,,
