title,published_date
चोरी गरीएका सामानहरु फिर्ता गरिदिने सम्बन्धमा।,2025-09-14 19:35:00
सेवा केन्द्रहरु सम्बन्धमा।,2025-09-14 19:34:00
विद्यालय सञ्चालन सम्बन्धी सूचना।,2025-09-13 18:41:00
सेवा सूचारु सम्बन्धी सूचना।,2025-09-13 18:25:00
सूचना,2025-09-12 09:31:00
"City Tour Guide - Refreshment Training Notice, Business Promotion Center",2025-09-07 10:29:00
कृषि कार्यक्रम प्रवर्द्धनको लागि आवेदन माग सम्बन्धी सूचना।,2025-09-05 10:30:00
रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री सेतुवराही आ.वि  पोखरा २३),2025-09-04 12:26:00
जलश्रोतको मुहान दर्ता सम्बन्धमा सुझाव वा दाबी विरोध पेस गर्ने सम्बन्धी सार्वजनिक सूचना (पोखरा २१),2025-09-03 15:40:00
दीर्घ सेवा सम्मान सम्बन्धमा ।,2025-08-31 14:31:00
भूमी (जग्गा) वर्गीकरण सम्बन्धी सूचना।,2025-08-29 11:48:00
रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री भयरेश्वरी आधारभूत विद्यालय पोखरा १४),2025-08-26 20:35:00
लेखा परीक्षण गर्न इच्छुक रजिस्टर लेखापरिक्षकहरुले निवेदन गर्ने सम्बन्धी सूचना।,2025-08-15 14:17:00
आ.व.२०८१/८२ श्रावण देखि मंसिर सम्म औषधि उपचार खर्च प्राप्त गरेका लाभग्राहीहरुको विवरण।,2025-08-07 16:18:00
आ.व.२०८१/८२ माघ देखि असार सम्म औषधि उपचार खर्च प्राप्त गरेका लाभग्राहीहरुको विवरण।,2025-08-07 16:15:00
"स्वतः प्रकाशन (२०८२ बैशाख देखि २०८२ असार मसान्त सम्म) सूचनाको हक सम्बन्धी ऐन, २०६४ को दफा ५(३) र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको सूचना विवरण।",2025-08-01 10:54:00
राजश्व संकलन सम्बन्धी सूचना !!,2025-07-28 20:31:00
न्यून आय भएका महानगरबासीहरुको लागि न्यून लागतको आवास/घर निर्माण कार्यक्रम सम्बन्धी सूचना।,2025-07-28 12:17:00
आवेदन फाराम भर्ने सम्बन्धी सूचना (गण्डकी बहुप्राविधिक शिक्षालय),2025-07-23 11:45:00
रिक्त पदमा स्थायी शिक्षक सरुवा सम्बन्धी सूचना (श्री जनज्योति माध्यमिक विद्यालय पोखरा २८),2025-07-21 13:14:00
